 --- primitive lattice vectors ---
    37   0.0141947838  0.0121712136  0.0012290817
    38  -0.0162137170  0.0124258202  0.0022316963
 n=    21 A   IR&R
     hbarW=  0.56238333E-03 Ha =  0.15303230E-01 eV; nu=  0.12342889E+03 cm^-1
    25  -0.6261600576  0.0055796941  0.0020702718
    26   0.6738099638 -0.0066912057  0.0022199446
    27  -0.0030071569  0.0304808589 -0.0308831386
    28  -0.0490631482  0.0086446960 -0.0302872874
    29  -0.0611601236  0.0038914608  0.0313242838
    30  -0.0162205846 -0.0444265718  0.0321784315
    31  -0.1789139524 -0.0047984905  0.0006510775
    32   0.3160849333  0.0061655930 -0.0085261727
    33  -0.0490216671  0.0009073015 -0.0001716349
    34  -0.0471142011  0.0004459458  0.0004304245
    35  -0.0176515908  0.0011202823 -0.0260604189
    36  -0.0166504764 -0.0000258389 -0.0256632135
    37  -0.0180603106 -0.0006810826  0.0251454085
    38  -0.0170889621  0.0002959474  0.0257145815
 n=    22 A   IR&R
     hbarW=  0.56629287E-03 Ha =  0.15409614E-01 eV; nu=  0.12428693E+03 cm^-1
    25   0.0054636182  0.6035153493  0.0028692394
    26  -0.0052342490 -0.6261350462 -0.0039145576
    27  -0.0133535949 -0.0389562408  0.0327449757
    28   0.0020933278 -0.0384642849 -0.0315089244
    29   0.0596736352 -0.0064998368 -0.0336926083
    30  -0.0483502453 -0.0070428686  0.0325863944
    31  -0.0004227399 -0.2437860554 -0.0008122013
    32   0.0000010269  0.4016282856 -0.0006694500
    33   0.0015300392 -0.0481001699 -0.0293568788
    34  -0.0005812483 -0.0483071771  0.0330780291
    35   0.0006618405 -0.0164850272 -0.0205182563
    36  -0.0003557477 -0.0164605201  0.0216749679
    37   0.0009116028 -0.0157959821 -0.0211865332
    38  -0.0005530258 -0.0159278672  0.0218978480
 n=    23 A   IR&R
     hbarW=  0.56996883E-03 Ha =  0.15509642E-01 eV; nu=  0.12509371E+03 cm^-1
    25   0.0131427752 -0.0027162127  0.0001054073
    26  -0.0138505391 -0.0013467025  0.0009168180
    27  -0.1823849877  0.4645101389 -0.0302190858
    28   0.1761493217  0.4589707432  0.0311894085
    29   0.1887568820 -0.4663866188 -0.0335531736
    30  -0.1812297931 -0.4601776093  0.0289746735
    31   0.0038481176 -0.0078312951 -0.0003327664
    32  -0.0045908475  0.0131289058  0.0033526307
    33   0.0431981593  0.0019611724 -0.0011482728
    34  -0.0411140684  0.0022832298  0.0006787143
    35   0.0235284889 -0.0167857239  0.0046043984
    36  -0.0230130950 -0.0167645845 -0.0038039848
    37   0.0236944316  0.0177141738 -0.0053334574
    38  -0.0229588530  0.0179765468  0.0045007834
 n=    24 A   IR&R
     hbarW=  0.77231019E-03 Ha =  0.21015631E-01 eV; nu=  0.16950251E+03 cm^-1
    25   0.0427733031  0.4743750465  0.0011289648
    26   0.0367769873  0.5215351928  0.0008068645
    27  -0.2760535258 -0.2480823477 -0.0099003323
    28   0.2287585962 -0.2190445767  0.0109482675
    29  -0.2809343361 -0.2542851437  0.0090954612
    30   0.2327200252 -0.2231797143 -0.0120796091
    31   0.0122498560 -0.0593411997 -0.0002061154
    32   0.0054436829  0.0621999793 -0.0020892411
    33  -0.0019136800 -0.0494562596  0.0140208236
    34  -0.0014463570 -0.0497743097 -0.0094033710
    35  -0.0004341786 -0.0146091309  0.0028050584
    36  -0.0009297935 -0.0146948448 -0.0048882758
    37  -0.0011215869 -0.0147386565  0.0057709967
    38  -0.0002100918 -0.0147700170 -0.0019753521
 n=    25 A   IR&R
     hbarW=  0.77428550E-03 Ha =  0.21069382E-01 eV; nu=  0.16993604E+03 cm^-1
    25  -0.5263150857  0.0391916020  0.0010434752
    26  -0.4526152959  0.0415634155 -0.0012347125
    27   0.2686524418  0.1670014445 -0.0058739487
    28   0.3123721155 -0.2016812271 -0.0031268831
    29   0.2732176957  0.1712920239  0.0066504051
    30   0.3172195713 -0.2080614155  0.0024808652
    31  -0.1456103946 -0.0075296890  0.0002661722
    32  -0.0699397361  0.0027948232 -0.0020257281
    33   0.0216677868 -0.0043523281  0.0045235476
    34   0.0215837038 -0.0046922083  0.0020629828
    35   0.0083654178 -0.0016454579  0.0175782484
    36   0.0082722356 -0.0010373547  0.0167278510
    37   0.0086120492 -0.0009850105 -0.0152685978
    38   0.0086564262 -0.0016381415 -0.0163872816
 n=    26 A   IR&R
     hbarW=  0.79469231E-03 Ha =  0.21624679E-01 eV; nu=  0.17441482E+03 cm^-1
    25   0.1035716860 -0.0004377702 -0.0001147712
    26   0.1140891301 -0.0000118182  0.0006626330
    27   0.1736070943 -0.2851988822  0.0207984518
    28   0.1850329774  0.2971715292  0.0214928862
    29   0.1747783917 -0.2873012888 -0.0219406264
    30   0.1841086619  0.2978303974 -0.0222243184
    31  -0.6576515810 -0.0142521811  0.0006933719
    32  -0.2634100303 -0.0063417070 -0.0004543174
    33  -0.0197470721 -0.0013096344  0.0023630484
    34  -0.0196565980 -0.0011570510  0.0003037207
    35  -0.0033550128 -0.0003999469  0.0216775021
    36  -0.0032961459 -0.0001797753  0.0206916734
    37  -0.0030068554 -0.0002116635 -0.0195233560
    38  -0.0029154278 -0.0004590826 -0.0208045427
 n=    27 A   IR&R
     hbarW=  0.79690933E-03 Ha =  0.21685008E-01 eV; nu=  0.17490140E+03 cm^-1
    25  -0.0009063147  0.0209650919  0.0002934255
    26   0.0008351079  0.0237846150  0.0004540939
    27   0.2374193537 -0.2616142144  0.0267211806
    28  -0.2261091689 -0.2505540755 -0.0254838886
    29   0.2358431820 -0.2594802454 -0.0267271327
    30  -0.2253600051 -0.2489167062  0.0250515123
    31  -0.0153510768  0.6584822769  0.0003529456
    32  -0.0058757934  0.2814597463  0.0043663016
    33   0.0000145472  0.0291280110 -0.0514048352
    34  -0.0005628412  0.0297490904  0.0401839938
    35  -0.0001092217  0.0066250415 -0.0257729690
    36   0.0001769364  0.0067167129  0.0251590063
    37   0.0004415445  0.0065634446 -0.0272217713
    38  -0.0004751933  0.0065627746  0.0237393892
 n=    28 A   IR&R
     hbarW=  0.85986935E-03 Ha =  0.23398237E-01 eV; nu=  0.18871953E+03 cm^-1
    25  -0.0046383858  0.0020544270  0.0478954416
    26   0.0019545922  0.0011239744  0.0476151484
    27   0.0088241367 -0.0064018840  0.0178908150
    28   0.0149516874  0.0074565944  0.0152879923
    29  -0.0094595070  0.0090635559  0.0182756021
    30  -0.0044267999 -0.0047626597  0.0183425320
    31  -0.0001304710 -0.0080207880  0.0211780929
    32  -0.0016908205  0.0021003888  0.4138105960
    33   0.0038959136 -0.0380386528 -0.6110143211
    34   0.0044287970  0.0304442195 -0.6201275314
    35   0.0026360998 -0.0038907902 -0.1209960797
    36   0.0027191587  0.0018984978 -0.1251405680
    37  -0.0014308675 -0.0043361257 -0.1229920381
    38  -0.0013048221  0.0022553193 -0.1265673123
 n=    29 A   IR&R
     hbarW=  0.12118664E-02 Ha =  0.32976565E-01 eV; nu=  0.26597396E+03 cm^-1
    25  -0.0000803179  0.0387748387  0.0006565040
    26   0.0001929720  0.0032255359  0.0005215899
    27  -0.0202536034  0.0035164158 -0.0228462607
    28   0.0212446231  0.0049335434  0.0240338637
    29  -0.0209437960  0.0050397123  0.0225982501
    30   0.0199066092  0.0038390799 -0.0220460929
    31  -0.0000665532 -0.0196268619  0.0003996671
    32   0.0000855861 -0.1703550282  0.0001167356
    33   0.0052685971  0.1034945695 -0.5946165778
    34  -0.0048518055  0.1042145082  0.5821079736
    35   0.0045380386  0.0085516586 -0.2488744465
    36  -0.0039467500  0.0089793370  0.2503378807
    37  -0.0001467879  0.0083694300 -0.2525128096
    38   0.0004673495  0.0078037984  0.2499529982
 n=    30 A   IR&R
     hbarW=  0.19265577E-02 Ha =  0.52424305E-01 eV; nu=  0.42283058E+03 cm^-1
    25   0.0021187553  0.0000553969 -0.0003533260
    26   0.0145573949  0.0001002930 -0.0003512838
    27  -0.0145860955  0.0034643043 -0.0216464827
    28  -0.0141656805 -0.0034166030 -0.0216214397
    29  -0.0134562129  0.0030491309  0.0201868268
    30  -0.0135469901 -0.0031387354  0.0204734864
    31   0.0070488136 -0.0000411223 -0.0001817604
    32   0.0979318242 -0.0001659728  0.0027035738
    33  -0.1052050072 -0.0010853028  0.0030330359
    34  -0.1056711965 -0.0011762881  0.0007882721
    35   0.0335850078 -0.0134372978  0.4862019257
    36   0.0341679810  0.0128985955  0.4902036435
    37   0.0422390152  0.0118620146 -0.4881250854
    38   0.0430136500 -0.0129926381 -0.4937215864
 n=    31 A   IR&R
     hbarW=  0.34700329E-02 Ha =  0.94424406E-01 eV; nu=  0.76158428E+03 cm^-1
    25  -0.0005593412  0.0000266614  0.0000254172
    26   0.0005254676 -0.0000145265 -0.0000448829
    27  -0.0005241004  0.0002961045 -0.0015978056
    28  -0.0005553042 -0.0003190913 -0.0016241386
    29  -0.0005494682  0.0002891700  0.0015339772
    30  -0.0005464248 -0.0003028648  0.0015265607
    31   0.0007115111  0.0000056587 -0.0000166361
    32  -0.0012539783  0.0001173543  0.0002251111
    33   0.1300602015 -0.0007147778  0.0006740957
    34   0.1342720614 -0.0013277569  0.0043523596
    35  -0.2262233894  0.4342459501  0.0409101936
    36  -0.2285334714 -0.4334702180  0.0373744206
    37  -0.2275596560 -0.4314484081 -0.0460557512
    38  -0.2246107474  0.4349885693 -0.0485920819
 n=    32 A   IR&R
     hbarW=  0.37456714E-02 Ha =  0.10192491E+00 eV; nu=  0.82207994E+03 cm^-1
    25  -0.0000020837 -0.0001372413 -0.0001439684
    26  -0.0001524568  0.0001377764  0.0040064292
    27  -0.0039984542  0.0029938678 -0.0062041848
    28  -0.0035657985 -0.0026627747 -0.0053736596
    29   0.0031895545 -0.0023730185 -0.0048049022
    30   0.0038300018  0.0026653097 -0.0057354540
